sha256	sha1	md5	category	filename	publisher	loads_despite_hvci	imphash
e7cbfb16261de1c7f009431d374d90e9eb049ba78246e38bc4c8b9e06f324b6f	06ecf73790f0277b8e27c8138e2c9ad0fc876438	e5e8ecb20bc5630414707295327d755e	vulnerable driver	amifldrv64.sys		TRUE	4fbdc03e4487f98fb59360ea5b3e640d
fc22977ff721b3d718b71c42440ee2d8a144f3fbc7755e4331ddd5bcc65158d2	eb1ecad3d37bb980f908bf1a912415cff32e79e6	1f7b2a00fe0c55d17d1b04c5e0507970	vulnerable driver	amifldrv64.sys		FALSE	4c304943af1b07b15a5efa80f17d9b89
ffc72f0bde21ba20aa97bee99d9e96870e5aa40cce9884e44c612757f939494f	ec457a53ea03287cbbd1edcd5f27835a518ef144	7b9717c608a5f5a1c816128a609e9575	vulnerable driver	amifldrv.sys		TRUE	07a42e80559d960b176c0fc8fd309bfe
42579a759f3f95f20a2c51d5ac2047a2662a2675b3fb9f46c1ed7f23393a0f00	bb962c9a8dda93e94fef504c4159de881e4706fe	6ab7b8ef0c44e7d2d5909fdb58d37fa5	vulnerable driver	amifldrv64.sys	"American Megatrends, Inc."	FALSE	4c0161f638d5acafe23fcee3c5e86f15
5e238d351e16d4909ca394f1db0326a60d33c9ac7b4d78aefcf17a6d9cc72be9	4d7d514b13de9bd3e9753bf058958e7f03f36983	f41f65189b796534d8ef6bf9caa06853	vulnerable driver			FALSE	4c304943af1b07b15a5efa80f17d9b89
f06fdfe50ebc8d1d2daf5811b66288563f26a09a2ec9c2a21e2a71ff19756062	3a2e9523fa861714f1acf76009c2b024aa78ad03	304f7b25251e688516aa452411c0d439	vulnerable driver			FALSE	363922cc73591e60f2af113182414230
fda506e2aa85dc41a4cbc23d3ecc71ab34e06f1def736e58862dc449acbc2330	41f2d0f9863bce8920c207b1ef5d3d32b603edef	cb6173824b31a721e5cf332c75bb2473	vulnerable driver			FALSE	4c304943af1b07b15a5efa80f17d9b89
26ba58c9af9c8a7aebf222f491f786daa0626be44d34f170fea3623d92828e63	4040f6974119ff2486f9a0cbd749ce240cbee2aa	73fc2954829a49fc8eb178b000d10120	vulnerable driver			FALSE	9943d029b8ce940ac6c9a8ab0737bf35
990165725debccea7ca15aa4ed7a0e3a2a25b4a72cb309a27c899bd0e4b5148f	27661f6a951a7fa031644bdf014e864c4ee6ec76	28463a6a70f9a686a45934f6559b9b17	vulnerable driver			FALSE	4c304943af1b07b15a5efa80f17d9b89
7c942801884999057aabdc01707570371afdb077979ee2f318c05276123b78e7	a0e95166bb6f80ef56cd645717d93174e47b750a	b15a6de1b4a01c73a16f158c2b6b979f	vulnerable driver			FALSE	4c304943af1b07b15a5efa80f17d9b89
3972159a58fd04da06f648c3828648cf394d3eb6af89538166cae8e6184c3eb6	61ec6cb5de378948ef036ff627c87c32f7308bad	6b53c79248a6699da703c4c3ff9d4a7e	vulnerable driver			FALSE	9943d029b8ce940ac6c9a8ab0737bf35
3482f671cb1b6414e43ab2c9bccc94c1fba67ceac6e9831249f18f31ad68880c	7019169a8348050774aa49a0e31c3670ee867277	5f463e27d90035be365077d1d1ebb3d7	vulnerable driver			FALSE	4c304943af1b07b15a5efa80f17d9b89
d8ce0a5866178495a66d23c9587822164966111fcd34764011e907951c599711	9837e4ce049cf164b7a484d91aad696d5e4f32c4	6d46f925df569b488e9b63778ab0d91e	vulnerable driver	BdApiUtil.sys		FALSE	eef4fbab2b67736477155cf67676478f
b17507a3246020fa0052a172485d7b3567e0161747927f2edf27c40e310852e0	585df373a9c56072ab6074afee8f1ec3778d70f8	be9eeea2a8cac5f6cd92c97f234e2fe1	vulnerable driver	EIO.sys		FALSE	b8302791cd2edfe6dd562c4854ea495f
cf69704755ec2643dfd245ae1d4e15d77f306aeb1a576ffa159453de1a7345cb	3f17ff83dc8a5f875fb1b3a5d3b9fcbe407a99f0	343ada10d948db29251f2d9c809af204	vulnerable driver	EIO.sys		FALSE	a96a02cf5f7896a9a9f045d1986bd83c
1fac3fab8ea2137a7e81a26de121187bf72e7d16ffa3e9aec3886e2376d3c718	a92207062fb72e6e173b2ffdb12c76834455f5d3	00143c457c8885fd935fc5d5a6ba07a4	vulnerable driver			FALSE	6a47c957830ccce7ef43ed96aacf7c2c
f4c7e94a7c2e49b130671b573a9e4ff4527a777978f371c659c3f97c14d126de	21ce232de0f306a162d6407fe1826aff435b2a04	6dd82d91f981893be57ff90101a7f7f1	vulnerable driver			FALSE	a96a02cf5f7896a9a9f045d1986bd83c
8fc5300027547e0eb446239c2a2b95016a9cd25816576407c64389ad12676c8a	9f390c92c2a268e05a0eceb195f396499ff4514a	7039952d33cbef5d5b818a42d83b3cd2	vulnerable driver	6c8a.sys		FALSE	a8633e68c2ad9f3dc83775d8d5b21c5b
0af5ccb3d33a9ba92071c9637be6254030d61998733a5eb3583e865e17844e05	b480c54391a2a2f917a44f91a5e9e4590648b332	e4266262a77fffdea2584283f6c4f51d	vulnerable driver	AMDPowerProfiler.sys		FALSE	1422b8d354b95d9cd880c8726df45dfc
16768203a471a19ebb541c942f45716e9f432985abbfbe6b4b7d61a798cea354	c47b890dda9882f9f37eccc27d58d6a774a2901f	fd80c3d38669b302de4b4b736941c0d1	vulnerable driver	ene.sys		FALSE	85f86c7c8ce81a78e84efa545d7edc65
175eed7a4c6de9c3156c7ae16ae85c554959ec350f1c8aaa6dfe8c7e99de3347	3cd037fbba8aae82c1b111c9f8755349c98bcb3c	7e6e2ed880c7ab115fca68136051f9ce	vulnerable driver	ene.sys		FALSE	baa420e9d4e3baf0d65d4fc2bf497708
810513b3f4c8d29afb46f71816350088caacf46f1be361af55b26f3fee4662c3	3a3342f4ca8cc45c6b86f64b1a7d7659020b429f	8942e9fa2459b1e179a6535ca16a2fb4	vulnerable driver	ene.sys		FALSE	85f86c7c8ce81a78e84efa545d7edc65
910aa4685c735d8c07662aa04fafec463185699ad1a0cd1967b892fc33ec6c3c	17b3163aecd1f512f1603548ef6eb4947fbec95e	1f3522c5db7b9dcdd7729148f105018e	vulnerable driver	ene.sys		FALSE	ec5ee9a38e54ed3d4a6e6545672cb651
